k,n,p,num_indices,presolve,add_basis_pursuit_valid_inequalities,add_Shor_valid_inequalities,nrow,proportion_presolved,solve_time_relaxation_mean,solve_time_relaxation_geomean,time_taken_mean,time_taken_geomean,true_optimality_gap_mean,true_optimality_gap_geomean
1,10,2.0,20,false,false,false,40,0.0,0.015514475107192994,0.015108196193234525,0.019874757528305052,0.019457958675421133,0.6412948610375473,0.32812813731745855
1,10,2.0,20,true,false,false,40,0.15,0.017828923463821412,0.0,0.022457456588745116,0.014309804636458211,4.066736348936844e-8,0.0
1,10,2.0,20,true,true,false,40,0.15,0.01960785984992981,0.0,0.13988382816314698,0.029310796608970437,4.23163460674195e-8,0.0
1,10,2.0,20,true,true,true,40,0.15,0.23216543197631836,0.0,2.4456094980239866,0.665291916147307,4.602901641090675e-8,0.0
1,10,2.5,25,false,false,false,40,0.0,0.01400524377822876,0.013616252566178214,0.019804954528808594,0.018471178705729206,0.6868822207455063,0.3277504766374533
1,10,2.5,25,true,false,false,40,0.75,0.0057811737060546875,0.0,0.007675939798355102,0.0015700970473926162,1.1365623273508454e-7,0.0
1,10,2.5,25,true,true,false,40,0.75,0.004858773946762085,0.0,0.13721127510070802,0.0034898693508752738,1.1297206315202933e-7,0.0
1,10,2.5,25,true,true,true,40,0.75,0.09869146943092347,0.0,0.9488962769508362,0.07826861198893033,1.1930309612949516e-7,0.0
1,10,3.0,30,false,false,false,40,0.0,0.01624215245246887,0.015785812343642562,0.020598232746124268,0.02012387434354079,0.5405038492693091,0.15683627466424255
1,10,3.0,30,true,false,false,40,1.0,0.0,0.0,0.000619959831237793,0.0006095218764871389,0.0,0.0
1,10,3.0,30,true,true,false,40,1.0,0.0,0.0,0.0006543934345245361,0.0006451720456065263,0.0,0.0
1,10,3.0,30,true,true,true,40,1.0,0.0,0.0,0.10273433923721313,0.0192733242897176,0.0,0.0
1,20,2.0,53,false,false,false,20,0.0,0.11690741777420044,0.11600139933026889,0.12492644786834717,0.1239689645103495,0.44337540188553765,0.3244475982715304
