n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,7.61e-03,8.77e-03,1.64e-02,9.09e-04,1.21e-03,1.42e-02
10,true,6.27e-04,7.68e-04,6.26e-03,1.28e-04,2.08e-04,3.69e-03
20,false,6.96e-03,6.96e-03,6.96e-03,6.23e-05,3.12e-04,8.24e-04
20,true,6.22e-04,1.67e-03,1.67e-03,8.14e-05,1.40e-04,7.20e-04
30,false,3.31e-03,3.31e-03,3.31e-03,9.04e-05,3.05e-04,1.04e-03
30,true,1.05e-04,2.37e-04,2.37e-04,1.60e-05,2.25e-05,6.00e-05
40,false,1.78e-04,1.78e-04,1.78e-04,2.16e-05,3.41e-05,1.39e-04
40,true,5.86e-05,5.86e-05,5.86e-05,4.97e-06,5.30e-06,3.20e-05
50,false,6.46e-05,6.46e-05,6.46e-05,3.86e-07,1.47e-06,2.58e-06
50,true,2.24e-06,2.24e-06,2.24e-06,1.02e-06,1.04e-06,4.09e-07
