n,p,γ,Int64[],[4],"[4, 3]"
10,2.0,20.0,0.0178,0.0175,0.000681
10,2.0,80.0,0.114,0.105,0.00609
10,3.0,20.0,0.00593,0.00154,3.04e-5
10,3.0,80.0,0.188,0.0862,0.000187
20,2.0,20.0,0.00202,0.00135,1.68e-5
20,2.0,80.0,0.0517,0.0431,0.000469
20,3.0,20.0,0.00301,0.00104,2.06e-6
20,3.0,80.0,0.0867,0.0433,1.02e-5
30,2.0,20.0,0.00376,0.00288,6.15e-5
30,2.0,80.0,0.071,0.0618,0.00306
30,3.0,20.0,0.000477,0.000133,3.42e-6
30,3.0,80.0,0.0608,0.0329,1.32e-5
50,2.0,20.0,9.26e-5,0.000103,1.48e-5
50,2.0,80.0,0.0372,0.0318,0.000467
50,3.0,20.0,2.08e-6,8.61e-7,3.34e-6
50,3.0,80.0,0.0198,0.00849,9.89e-6
75,2.0,20.0,5.98e-6,1.64e-6,2.55e-6
75,2.0,80.0,0.0131,0.0113,4.24e-5
75,3.0,20.0,5.52e-7,3.02e-7,3.89e-6
75,3.0,80.0,0.00823,0.00341,8.73e-6
100,2.0,20.0,1.56e-6,6.07e-7,1.38e-6
100,2.0,80.0,0.00624,0.00501,1.51e-5
100,3.0,20.0,4.11e-7,2.49e-7,
100,3.0,80.0,0.00591,0.00231,
