n,p,γ,Int64[],[4],"[4, 3]"
10,2.0,20.0,0.0163,0.0386,0.132
10,2.0,80.0,0.0182,0.0359,0.164
10,3.0,20.0,0.0189,0.0596,0.484
10,3.0,80.0,0.0224,0.062,0.523
20,2.0,20.0,0.104,0.379,2.11
20,2.0,80.0,0.109,0.368,2.33
20,3.0,20.0,0.0976,0.68,11.2
20,3.0,80.0,0.109,0.615,11.6
30,2.0,20.0,0.408,2.05,12.0
30,2.0,80.0,0.435,1.69,13.2
30,3.0,20.0,0.426,2.9,76.6
30,3.0,80.0,0.475,3.54,72.9
50,2.0,20.0,2.7,17.1,92.5
50,2.0,80.0,2.96,15.5,98.8
50,3.0,20.0,2.87,18.0,709.0
50,3.0,80.0,3.13,24.4,711.0
75,2.0,20.0,15.8,96.7,514.0
75,2.0,80.0,17.9,98.4,583.0
75,3.0,20.0,16.0,92.9,4170.0
75,3.0,80.0,17.9,132.0,4160.0
100,2.0,20.0,52.7,315.0,1780.0
100,2.0,80.0,55.6,358.0,1920.0
100,3.0,20.0,53.9,320.0,
100,3.0,80.0,59.5,434.0,
