n,p,nodes_explored_mean,solve_time_relaxation_mean,time_taken_geomean,relative_gap_root_node_geomean,relative_gap_geomean
50,2.0,654.6,5.235,3600.0,4.78e-01,1.27e-01
50,2.5,580.32,5.588,3204.8,6.06e-02,1.16e-02
50,3.0,453.95,5.871,2183.8,2.89e-02,4.57e-03
75,2.0,137.25,25.89,3600.0,2.63e-01,2.14e-01
75,2.5,133.1,26.71,3600.0,3.11e-02,2.34e-02
75,3.0,123.79,29.09,3600.0,1.86e-02,9.52e-03
100,2.0,47.0,76.66,3600.0,1.89e-01,1.68e-01
100,2.5,44.6,80.94,3600.0,3.29e-02,2.52e-02
100,3.0,34.05,84.9,2482.4,1.03e-02,5.59e-03
125,2.0,18.55,203.5,3600.0,1.48e-01,1.26e-01
125,2.5,18.6,196.9,3600.0,2.00e-02,1.81e-02
125,3.0,16.0,205.8,3082.3,7.39e-03,5.88e-03
150,2.0,8.3,456.7,3600.0,1.17e-01,1.02e-01
150,2.5,8.1,479.2,3600.0,1.55e-02,1.53e-02
150,3.0,7.95,460.5,3600.0,4.39e-03,3.26e-03
