n,p,nodes_explored_mean,solve_time_relaxation_mean,time_taken_geomean,relative_gap_root_node_geomean,relative_gap_geomean
50,2.0,439.42,5.499,1733.1,3.12e-02,3.95e-03
50,2.5,374.59,5.999,1483.6,2.10e-02,1.79e-03
50,3.0,248.4,5.233,429.4,1.98e-02,1.08e-03
75,2.0,86.95,28.58,1674.1,1.31e-02,4.40e-03
75,2.5,86.44,29.59,1862.2,1.07e-02,1.67e-03
75,3.0,74.3,28.1,1263.0,8.23e-03,1.30e-03
100,2.0,33.05,85.73,2350.6,6.24e-03,2.15e-03
100,2.5,30.7,88.56,2098.9,6.56e-03,3.28e-03
100,3.0,28.39,88.09,1858.3,5.44e-03,1.29e-03
125,2.0,13.84,212.4,2475.3,3.38e-03,1.72e-03
125,2.5,11.21,204.0,1725.8,1.08e-03,7.61e-04
125,3.0,10.65,205.1,1528.5,5.13e-04,3.33e-04
150,2.0,6.9,467.6,3135.6,1.73e-03,1.03e-03
150,2.5,7.15,456.1,3174.3,1.01e-03,8.86e-04
150,3.0,6.84,463.7,3092.4,1.73e-03,1.05e-03
200,2.0,1.4,1180.0,1506.3,6.06e-07,6.07e-08
200,2.5,1.5,1159.0,1506.9,5.04e-07,1.08e-07
200,3.0,1.55,1137.0,1533.1,4.69e-07,8.96e-08
250,2.0,1.27,3157.0,3600.0,1.53e-06,7.21e-07
250,2.5,1.12,3112.0,3376.6,4.65e-07,1.24e-07
250,3.0,1.23,3077.0,3600.0,8.79e-07,9.32e-08
