n,p,nodes_explored_mean,solve_time_relaxation_mean,time_taken_geomean,relative_gap_root_node_geomean,relative_gap_geomean
50,2.0,1051.2,3.175,3600.0,3.72e-02,1.63e-02
50,2.5,1032.65,3.262,3600.0,2.13e-02,1.15e-02
50,3.0,1018.8,3.332,3600.0,1.98e-02,7.46e-03
75,2.0,191.3,18.35,3600.0,1.31e-02,9.24e-03
75,2.5,191.2,18.38,3600.0,1.10e-02,5.41e-03
75,3.0,187.9,18.79,3600.0,8.23e-03,4.21e-03
100,2.0,60.65,59.09,3600.0,6.24e-03,3.21e-03
100,2.5,58.4,61.4,3600.0,6.56e-03,2.36e-03
100,3.0,58.1,61.8,3600.0,5.91e-03,1.52e-03
125,2.0,21.7,154.1,2935.0,3.14e-03,1.49e-03
125,2.5,21.7,151.7,2669.8,1.03e-03,6.62e-04
125,3.0,20.1,155.3,2284.7,5.13e-04,3.00e-04
150,2.0,10.95,335.2,3600.0,1.73e-03,6.62e-04
150,2.5,10.8,337.8,3600.0,1.01e-03,5.82e-04
150,3.0,10.3,339.3,3404.0,1.79e-03,4.18e-04
200,2.0,1.45,1200.0,1563.0,6.06e-07,9.65e-08
200,2.5,1.4,1190.0,1496.6,5.04e-07,1.96e-07
200,3.0,1.4,1139.0,1462.1,4.69e-07,5.25e-08
250,2.0,1.2,3118.0,3581.6,5.54e-07,9.22e-08
250,2.5,1.19,3169.0,3600.0,7.42e-07,2.14e-07
250,3.0,1.25,3175.0,3600.0,5.96e-07,1.44e-07
