n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,1.42e-02,1.80e-02,1.40e-02,2.58e-02,2.23e-02,4.23e-02
10,true,1.40e-02,1.86e-02,1.50e-02,2.44e-02,2.34e-02,2.95e-02
20,false,1.20e-01,1.27e-01,1.05e-01,1.35e-01,1.27e-01,1.90e-01
20,true,1.23e-01,1.25e-01,1.04e-01,1.37e-01,1.29e-01,1.42e-01
30,false,6.41e-01,6.05e-01,5.04e-01,5.50e-01,5.23e-01,6.48e-01
30,true,6.31e-01,5.98e-01,5.12e-01,5.48e-01,5.27e-01,5.44e-01
40,false,1.87e+00,1.77e+00,1.59e+00,1.63e+00,1.58e+00,1.69e+00
40,true,1.84e+00,1.76e+00,1.62e+00,1.64e+00,1.56e+00,1.65e+00
50,false,4.60e+00,4.34e+00,4.13e+00,4.38e+00,4.23e+00,4.57e+00
50,true,4.50e+00,4.38e+00,4.17e+00,4.36e+00,4.26e+00,4.43e+00
