n,p,num_indices,nrow,nodes_explored_mean,solve_time_relaxation_mean,time_taken_geomean,relative_gap_root_node_geomean,relative_gap_geomean,MSE_all_initial_geomean,MSE_all_geomean,MSE_isvd_geomean,MSE_mf_geomean,k,MSE_ratio,MSE_difference,MSE_mf_ratio,MSE_mf_difference,MSE_isvd_ratio,MSE_isvd_difference
10,2.0,20,50,62027.34,0.04592572582131787,3234.786480366122,0.4781705339734935,0.018863470925665104,0.4093686568987492,0.40616388949376664,0.41241510217134075,1.0781180841381957,1,0.007890330696253903,0.0032047674049825448,1.6543917665401946,0.671954194644429,0.015390862750909447,0.006251212677574114
10,2.5,25,50,60560.42,0.053800448135340545,3600.045721666745,0.29107287993319814,0.03849537054000745,0.19840126735489305,0.16723733303551144,0.1482816594201638,1.070810000815501,1,0.1863455590550718,0.03116393431938161,5.402936362230337,0.9035726677799896,-0.11334594537765418,-0.01895567361534764
10,3.0,30,50,64021.52,0.04977243069619762,3600.0453299681767,0.23390657333105208,0.04882880200339843,0.11980914378029785,0.0848923258718281,0.07011623650993445,0.937616576958369,1,0.4113071181626919,0.03491681790846975,10.04477427528607,0.8527242510865409,-0.17405683270126018,-0.014776089361893646
20,2.0,40,50,13102.88,0.23808902953331634,3600.1694786462654,0.6863242824081813,0.0353359857809021,0.6266805193936312,0.6816474261092552,0.6320326347010393,1.379671036123469,1,-0.08063832504931051,-0.05496690671562399,1.0240244197772908,0.6980236100142138,-0.07278658952973671,-0.0496147914082159
20,2.0,53,50,13360.28,0.23607225100932364,3600.170930225931,0.13175672375976868,0.04218664637363522,0.2447255406313034,0.23025825622556279,0.204284752715264,1.3182463628660135,1,0.0628306869116925,0.014467284405740605,4.725077504168402,1.0879881066404506,-0.11280161648082203,-0.025973503510298784
20,2.0,60,50,18584.82,0.14449799359409138,3600.101043487064,0.1376869600173187,0.03672937352277923,0.18563192058905056,0.14961759592613066,0.12590267673310124,1.2922727633592195,1,0.24070915215547858,0.0360143246629199,7.637171018288794,1.1426551674330887,-0.15850354395974908,-0.023714919193029427
20,2.5,50,50,12550.8,0.24830243140707264,3600.1892710275706,0.1398988901873668,0.03863053051299277,0.3540309386949734,0.29239086964442396,0.3099765080801738,1.2789499874305768,1,0.21081393247849975,0.06164006905054942,3.374110549299661,0.9865591177861528,0.06014428035025753,0.01758563843574984
20,2.5,66,50,13166.58,0.24435152023533493,3600.1822407517802,0.1201448505608321,0.04059566192774257,0.15889079712406903,0.13984763359932856,0.11612486524566921,1.1768167816277535,1,0.13617079556240633,0.019043163524740475,7.414992455284589,1.0369691480284249,-0.1696329622682528,-0.023722768353659343
20,2.5,75,50,18208.1,0.15316808934322462,3600.119404911236,0.12049262619946216,0.03283488810455137,0.1266198516648044,0.10777880009144908,0.08970097199945269,1.1639725428004242,1,0.17481222241636496,0.018841051573355333,9.799642803712853,1.0561937427089751,-0.16773083460437077,-0.018077828091996387
20,3.0,60,50,14378.44,0.21884739129669006,3600.1660319631324,0.1376869600173187,0.03780494013399659,0.18563192058905056,0.16006401509341137,0.12590267673310165,1.3372676748569954,1,0.15973550007925322,0.025567905495639198,7.354580347597695,1.177203659763584,-0.21342297542875943,-0.03416133836030971
20,3.0,79,50,13059.8,0.2510508509046087,3600.1765946390537,0.12064212193460554,0.033517650762749644,0.11276781250818144,0.09828711910587305,0.08130331065516552,1.1836070391851243,1,0.14733053053177855,0.014480693402308384,11.04234135614622,1.0853199200792514,-0.17279790683876783,-0.01698380845070753
20,3.0,90,50,18139.08,0.15636706747128365,3600.1210038215922,0.1211913157495215,0.02820084968237078,0.0853386664900381,0.06728700385276704,0.05591533116871275,1.0367946704950577,1,0.26827859175852914,0.018051662637271065,14.408542677330425,0.9695076666422906,-0.1690025121186407,-0.011371672684054285
30,2.0,60,50,4619.66,0.6762877588190733,3600.4556287836817,0.490784312682426,0.05176361949410515,0.690674554058367,0.7254870144395231,0.6421584551333305,1.4915508272096516,1,-0.04798495312566085,-0.03481246038115615,1.0559304267657403,0.7660638127701285,-0.1148587881625536,-0.08332855930619265
30,2.0,89,50,4601.86,0.6682124386766409,3600.5162166061427,0.06828317538562152,0.03209869493548641,0.2436023148202154,0.22085466107619778,0.18960926433478273,1.3766997006530266,1,0.10299829595251056,0.022747653744017632,5.233509829244885,1.1558450395768287,-0.14147492558753366,-0.03124539674141505
30,2.0,111,50,5265.2,0.5741999726284014,3600.3161488128444,0.05381884061885654,0.026703756029454007,0.14857454609365717,0.13756070655458671,0.11385769942650681,1.3572597342237702,1,0.08006530218496624,0.011013839539070452,8.866623749022281,1.2196990276691835,-0.1723094313903811,-0.023703007128079906
30,2.5,75,50,4567.9,0.6734888719450538,3600.46094578161,0.11393045850510122,0.03221467323014815,0.38575437046423755,0.3635671518885211,0.3267452678550089,1.4339712734922705,1,0.06102646639133007,0.022187218575716428,2.944171705401929,1.0704041216037494,-0.10127945784497809,-0.03682188403351222
